S.No,Process Area,Sub-Process,Risk ID,Risk Description,Risk Category,Likelihood (H/M/L),Impact (H/M/L),Inherent Risk,Control ID,Control Description,Control Type,Control Nature,Frequency,Key Control,Control Owner,Residual Risk,Applicable to Client,Data Points / Evidence Required,Testable via Data Analytics,Primary Data Source(s) for Analytics,Linked CAAT Test ID(s),Remarks
1,"Entity Level Controls","Governance & Oversight","ELC-01","Lack of segregation of duties (SoD) in a small team allows one person to initiate, approve and record a transaction, increasing risk of error or fraud.","Fraud","H","H","H","ELC-C01","Owner/Director reviews and approves key transactions (sales above threshold, purchases above threshold, payments above threshold, journal entries) where full SoD is not practically possible.","Preventive","Manual","Transaction-wise","Y","Owner/Director","M","Y","Approval threshold matrix; sample approved transactions; org chart / role list","Partial","Approval workflow log / ERP audit trail / JE listing","DA-06, DA-09",""
2,"Entity Level Controls","Governance & Oversight","ELC-02","Absence of documented policies (credit policy, expense policy, procurement policy, HR policy) leads to inconsistent or arbitrary practices across the business.","Operational","M","M","M","ELC-C02","Key operating policies are documented, approved by owner/board and communicated to relevant staff; reviewed at least annually.","Preventive","Manual","Annual","N","Owner/Director","L","Y","Policy documents with approval/sign-off; version history; staff acknowledgement","N","Policy documents (not transactional data)","",""
3,"Entity Level Controls","Governance & Oversight","ELC-03","Management override of controls by promoter/owner-family without independent challenge, given concentrated ownership typical of MSMEs.","Fraud","M","H","H","ELC-C03","Independent review of financials/MIS by an external CA/consultant or audit committee (if applicable) at defined intervals; whistleblower / grievance channel exists.","Detective","Manual","Quarterly","Y","External CA / Owner","M","Y","MIS review notes; minutes of review meetings; whistle-blower log if any","N","Review meeting minutes (not transactional data)","",""
4,"Entity Level Controls","Budgeting & MIS","ELC-04","No budget or business plan exists, so deviations in revenue/cost are not identified timely.","Operational","M","M","M","ELC-C04","Annual budget prepared and approved; actual vs budget variance reviewed monthly/quarterly by management.","Detective","Manual","Monthly","N","Owner/Finance Head","M","Y","Approved budget; variance analysis reports","Partial","Budget vs Actual - Trial Balance","DA-32",""
5,"Revenue & Receivables","Order to Cash","REV-01","Sales invoices raised without a valid, approved sales order / customer PO, or without proof of delivery, risking fictitious or premature revenue recognition.","Financial","M","H","H","REV-C01","Sales invoice is generated by the system/accountant only against an approved sales order and supported by delivery challan / e-way bill / dispatch proof.","Preventive","IT-dependent Manual","Transaction-wise","Y","Sales/Accounts Executive","L","Y","Sales order register; delivery challans; e-way bills; sample invoices with supporting documents","Y","Sales Register + Delivery Challan/E-way Bill Register","DA-03, DA-04, DA-30",""
6,"Revenue & Receivables","Order to Cash","REV-02","Sales returns and credit notes are passed without proper authorization or supporting evidence, resulting in unwarranted reduction of revenue/receivables.","Fraud","M","M","M","REV-C02","Credit notes/sales returns above a defined threshold require approval from Sales Head/Owner and are supported by return documentation (GRN of return, customer confirmation).","Preventive","Manual","Transaction-wise","Y","Sales Head","L","Y","Credit note register with approvals; return GRNs; customer correspondence","Y","Credit Note Register","DA-05, DA-31",""
7,"Revenue & Receivables","Credit Control","REV-03","Overdue trade receivables are not monitored, increasing risk of bad debts and cash-flow strain typical to MSMEs with informal credit terms.","Financial","H","M","H","REV-C03","Monthly customer-wise ageing analysis is prepared and reviewed; follow-up action documented for balances beyond agreed credit period; provisioning policy applied for doubtful debts.","Detective","Manual","Monthly","Y","Accounts/Finance Head","M","Y","Ageing report; follow-up/collection emails or calls log; provision workings","Y","Customer-wise Ageing / AR Sub-ledger","DA-18",""
8,"Revenue & Receivables","Pricing & Discounts","REV-04","Sales are invoiced at prices/discounts outside the approved price list, resulting in revenue leakage or preferential treatment to select customers.","Financial","M","M","M","REV-C04","Approved price list/discount matrix is maintained; invoices are reviewed against the price list before dispatch; deviations require approval.","Preventive","Manual","Transaction-wise","N","Sales Head","L","Y","Approved price list; sample invoices vs price list comparison; deviation approvals","Y","Sales Register + Approved Price Master","DA-17",""
9,"Revenue & Receivables","Tax on Sales","REV-05","GST is charged at an incorrect rate or with an incorrect place-of-supply determination on sales invoices, leading to short/excess tax collection and compliance exposure.","Compliance","M","H","H","REV-C05","GST rate/HSN master is maintained and periodically reconciled with the latest notifications; invoices reviewed for correct GSTIN, place of supply and tax rate before filing.","Preventive","IT-dependent Manual","Monthly","Y","Accountant/Tax Consultant","M","Y","GST rate master; sample invoice review checklist; GSTR-1 vs sales register reconciliation","Y","Sales Register + GSTR-1 export","DA-21",""
10,"Purchase & Payables","Vendor Management","PUR-01","Purchases are made from unapproved or related vendors without competitive quotes, risking overpricing, favoritism or conflict of interest.","Fraud","M","H","H","PUR-C01","Vendors are empanelled through a documented process (min. quotes/credentials for purchases above threshold); purchase orders raised only for empanelled vendors.","Preventive","Manual","Transaction-wise","Y","Purchase Manager/Owner","M","Y","Vendor empanelment file; comparative quotation sheets; approved vendor master","Partial","Vendor Master + Purchase Register","DA-19, DA-29",""
11,"Purchase & Payables","Procure to Pay","PUR-02","Goods/services received are not matched against the purchase order and vendor invoice (no three-way match), leading to payment for short/incorrect supply or inflated quantities.","Financial","M","H","H","PUR-C02","Three-way match of Purchase Order, Goods Receipt Note (GRN) and vendor invoice is performed before booking/payment; discrepancies investigated and resolved.","Preventive","IT-dependent Manual","Transaction-wise","Y","Stores/Accounts","L","Y","PO register; GRNs; vendor invoices; three-way match working/checklist","Y","PO Register + GRN Register + Purchase Invoice Register","DA-16, DA-17",""
